Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean-Cup,Sweetness,Moisture,altitude-mean-meters
0.9908571428571429,1.0,1.0,1.0,0.9906759906759907,0.9622857142857143,1.0,1.0,1.0,0.6,0.010906432902299605
1.0,0.9818799546998868,0.9803921568627451,0.9805714285714285,0.9813519813519813,0.9622857142857143,1.0,1.0,1.0,0.6,0.010906432902299605
0.9622857142857143,0.9626274065685164,0.9711649365628604,0.9622857142857143,0.9708624708624709,0.9622857142857143,1.0,1.0,1.0,0.0,0.008934440453716023
0.9337142857142857,0.9716874292185731,0.9711649365628604,0.9622857142857143,0.9906759906759907,0.9428571428571428,1.0,1.0,1.0,0.5499999999999999,0.01051203441258289
0.9428571428571428,0.9626274065685164,0.9515570934256056,0.9714285714285714,0.9813519813519813,0.952,1.0,1.0,1.0,0.6,0.010906432902299605
0.9428571428571428,0.9433748584371461,0.9803921568627451,0.9622857142857143,0.9708624708624709,0.9714285714285714,1.0,1.0,0.933,0.15,0.008592628429294868
0.9908571428571429,0.9818799546998868,0.9896193771626298,0.9622857142857143,0.9708624708624709,0.9622857142857143,0.933,1.0,0.933,0.15,0.008592628429294868
0.9234285714285715,0.9716874292185731,0.9803921568627451,0.9714285714285714,0.8939393939393939,0.9622857142857143,1.0,1.0,1.0,0.5,0.00957862465358666
0.9337142857142857,0.9818799546998868,0.9515570934256056,0.9714285714285714,0.9032634032634033,0.9337142857142857,1.0,1.0,1.0,0.5,0.010012462992275048
0.9428571428571428,0.9535673839184597,0.9423298731257209,0.952,0.9417249417249417,0.9337142857142857,1.0,1.0,1.0,0.0,0.009838927656799694
0.9234285714285715,0.9818799546998868,0.9607843137254902,0.9622857142857143,0.9324009324009324,0.9234285714285715,1.0,1.0,1.0,0.0,0.010212291560398185
0.952,0.9535673839184597,0.9319492502883506,0.9428571428571428,0.9615384615384616,0.9142857142857143,1.0,1.0,1.0,0.0,0.0032004122778879172
0.9428571428571428,0.9433748584371461,0.9803921568627451,0.9428571428571428,1.0,1.0,0.933,1.0,0.933,0.25,0.008592628429294868
0.9142857142857143,0.9626274065685164,0.9896193771626298,0.9337142857142857,0.9522144522144522,0.9142857142857143,1.0,1.0,1.0,0.0,0.010932726134947387
0.952,0.9343148357870895,0.9031141868512111,0.8857142857142857,0.9906759906759907,0.9622857142857143,1.0,1.0,1.0,0.15,0.007882711147804778
0.9622857142857143,0.9343148357870895,0.9319492502883506,0.9337142857142857,0.923076923076923,0.9142857142857143,1.0,1.0,1.0,0.5,0.007619778821326967
0.9337142857142857,0.9252548131370328,0.922722029988466,0.9337142857142857,0.9417249417249417,0.952,1.0,1.0,1.0,0.0,0.009723237433149456
0.9142857142857143,0.9343148357870895,0.9319492502883506,0.9714285714285714,0.9615384615384616,0.9142857142857143,1.0,1.0,1.0,0.0,0.010611948696644457
0.9234285714285715,0.9343148357870895,0.922722029988466,0.9337142857142857,0.9324009324009324,0.952,1.0,1.0,1.0,0.5499999999999999,0.006830981841893533
0.9337142857142857,0.9343148357870895,0.9423298731257209,0.9142857142857143,0.9125874125874126,0.9337142857142857,1.0,1.0,1.0,0.65,0.006936154772484658
0.9428571428571428,0.9433748584371461,0.9423298731257209,0.9337142857142857,0.9125874125874126,0.9337142857142857,1.0,1.0,1.0,0.0,0.011101002823893187
0.9714285714285714,0.9626274065685164,0.922722029988466,0.9142857142857143,0.9324009324009324,0.9142857142857143,1.0,1.0,1.0,0.6,0.0065680495154157225
0.9622857142857143,0.9252548131370328,0.9423298731257209,0.9337142857142857,0.9125874125874126,0.9051428571428571,1.0,1.0,1.0,0.6,0.010249102086105077
0.9337142857142857,0.9150622876557192,0.9319492502883506,0.9142857142857143,0.9417249417249417,0.9142857142857143,1.0,1.0,1.0,0.5,0.007356846494849156
0.9142857142857143,0.9060022650056625,0.922722029988466,0.9428571428571428,0.9324009324009324,0.9337142857142857,1.0,1.0,1.0,0.0,0.006305117188937911
0.9714285714285714,0.9252548131370328,0.922722029988466,0.8857142857142857,0.9324009324009324,0.9142857142857143,1.0,1.0,1.0,0.6,0.006830981841893533
0.9337142857142857,0.8867497168742922,0.922722029988466,0.9234285714285715,0.9125874125874126,0.9142857142857143,1.0,1.0,1.0,0.0,0.006830981841893533
0.9142857142857143,0.9150622876557192,0.9134948096885813,0.9142857142857143,0.9417249417249417,0.9234285714285715,1.0,1.0,1.0,0.5,0.009328838943432739
0.9234285714285715,0.9060022650056625,0.922722029988466,0.9428571428571428,0.923076923076923,0.9051428571428571,1.0,1.0,1.0,0.6,0.009460305106671644
0.8765714285714286,0.9252548131370328,0.922722029988466,0.9142857142857143,0.9522144522144522,0.9234285714285715,1.0,1.0,1.0,0.0,0.010201774267339073
0.8948571428571429,0.9433748584371461,0.9031141868512111,0.9428571428571428,0.8834498834498834,0.9051428571428571,1.0,1.0,1.0,0.5,0.006830981841893533
0.9337142857142857,0.8969422423556058,0.9134948096885813,0.8857142857142857,0.9708624708624709,0.9142857142857143,1.0,1.0,1.0,0.39999999999999997,5.784511182511845e-05
0.9622857142857143,0.8969422423556058,0.922722029988466,0.8857142857142857,0.923076923076923,0.9142857142857143,1.0,1.0,1.0,0.049999999999999996,5.784511182511845e-05
0.9234285714285715,0.9252548131370328,0.8938869665513264,0.9234285714285715,0.9032634032634033,0.8948571428571429,1.0,1.0,1.0,0.6,0.0052533878830266665
0.9234285714285715,0.9150622876557192,0.922722029988466,0.9142857142857143,0.9125874125874126,0.9234285714285715,1.0,1.0,1.0,0.5499999999999999,0.009218407366312058
0.952,0.9060022650056625,0.922722029988466,0.9142857142857143,0.9032634032634033,0.9142857142857143,1.0,1.0,1.0,0.5499999999999999,0.0065680495154157225
0.8857142857142857,0.8969422423556058,0.9031141868512111,0.9234285714285715,0.9417249417249417,0.9337142857142857,1.0,1.0,1.0,0.6,0.006305117188937911
0.9051428571428571,0.9252548131370328,0.9031141868512111,0.9714285714285714,0.8741258741258742,0.9051428571428571,1.0,1.0,1.0,0.5499999999999999,0.009775823898445017
0.9428571428571428,0.9060022650056625,0.9031141868512111,0.9234285714285715,0.9324009324009324,0.9051428571428571,1.0,1.0,1.0,0.5,0.008671508127238211
0.8857142857142857,0.9150622876557192,0.922722029988466,0.9428571428571428,0.9324009324009324,0.9142857142857143,1.0,1.0,1.0,0.049999999999999996,0.009197372780193834
